lineage,taxon,level1,level2,plankton,,,,,
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Oligostraca/Ostracoda,Ostracoda,Ostracoda,Ostracoda,TRUE,,,Ostracoda,Ostracoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,TRUE,,,Chaetognatha,Chaetognatha,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii,Actinopterygii,Actinopterygii,Actinopterygii,TRUE,,,Actinopterygii,Actinopterygii,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia,Appendicularia,Appendicularia,Appendicularia,TRUE,,,Appendicularia,Appendicularia,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/house/dead,dead<house,dead<house,Appendicularia,TRUE,,,dead<house,Appendicularia,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Salpida,Salpida,Salpida,Salpida,TRUE,,,Salpida,Salpida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Salpida/chain,chain<Salpida,chain<Salpida,Salpida,TRUE,,,chain<Salpida,Salpida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Cnidaria,Cnidaria,Cnidaria,Cnidaria,TRUE,,,Cnidaria,Cnidaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Cnidaria/other,other<Cnidaria,other<Cnidaria,Cnidaria,TRUE,,,other<Cnidaria,Cnidaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Cnidaria/small,small<Cnidaria,small<Cnidaria,Cnidaria,TRUE,,,small<Cnidaria,Cnidaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae,TRUE,,,Siphonophorae,Siphonophorae,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Narcomedusae,Narcomedusae,Narcomedusae,Trachylina,TRUE,,,Narcomedusae,Trachylina,TRUE
