taxon,grouped,plankton,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s
Actinopterygii,Actinopterygii,True,0.2914572864321608,0.20069204152249134,0.23770491803278687,0.9077490774907749,0.8512110726643599,0.8785714285714286,0.9257950530035336,0.9065743944636678,0.916083916083916,0.9640287769784173,0.9273356401384083,0.9453262786596119
egg<Actinopterygii,Actinopterygii,True,0.608540925266904,0.24818577648766327,0.3525773195876289,0.869198312236287,0.8969521044992743,0.8828571428571429,0.8587105624142661,0.9085631349782293,0.8829337094499294,0.9078947368421053,0.9013062409288825,0.9045884923525127
Neoceratium,Alveolata,True,0.0,0.0,0.0,0.9411764705882353,0.9056603773584906,0.9230769230769231,0.8360655737704918,0.9622641509433962,0.8947368421052632,0.8947368421052632,0.9622641509433962,0.9272727272727272
Noctiluca,Alveolata,True,0.7008,0.44693877551020406,0.5457943925233645,0.9015444015444015,0.9530612244897959,0.9265873015873016,0.8313253012048193,0.9857142857142858,0.9019607843137255,0.8794848206071757,0.9755102040816327,0.9250120948234156
Amphipoda,Amphipoda,True,0.0,0.0,0.0,0.875,0.784,0.8270042194092827,0.9107142857142857,0.816,0.8607594936708861,0.890625,0.912,0.9011857707509882
Cumacea,Amphipoda,True,1.0,0.1794871794871795,0.30434782608695654,0.9710144927536232,0.8589743589743589,0.9115646258503401,0.9726027397260274,0.9102564102564102,0.9403973509933775,0.9605263157894737,0.9358974358974359,0.948051948051948
Hyperiidea,Amphipoda,True,0.4166666666666667,0.1903114186851211,0.26128266033254155,0.9145907473309609,0.889273356401384,0.9017543859649123,0.9403508771929825,0.9273356401384083,0.9337979094076655,0.9366197183098591,0.9204152249134948,0.9284467713787086
Annelida,Annelida,True,0.25925925925925924,0.18051575931232092,0.21283783783783783,0.8731117824773413,0.828080229226361,0.85,0.8369565217391305,0.8825214899713467,0.8591352859135286,0.8856304985337243,0.8653295128939829,0.8753623188405797
larvae<Annelida,Annelida,True,0.0,0.0,0.0,0.8857142857142857,0.62,0.7294117647058823,0.6949152542372882,0.82,0.7522935779816514,0.782608695652174,0.72,0.75
part<Annelida,Annelida,True,0.3047619047619048,0.42953020134228187,0.3565459610027855,0.937007874015748,0.7986577181208053,0.8623188405797102,0.825,0.8859060402684564,0.8543689320388349,0.8598726114649682,0.9060402684563759,0.8823529411764706
